,Unnamed: 0,Name,City,Specialization,Waiting Time,Fees
0,0,Centre Médical de Soins Immédiats 86,Poitiers,Medecin generaliste,jeu. 5 janv. 18:30,"Centre Médical de Soins Immédiats 86
1 Rue Henri le Châtelier, 86000 Poitiers"
1,1,Marc BAHUET,Poitiers,Medecin generaliste,,25
2,2,Nathalie Dumureau Peltier,Poitiers,Medecin generaliste,,25
3,3,Dr Violaine Ricoulleau,Poitiers,Medecin generaliste,,25
4,4,Dr Alain SHEIKHALISHAHI,Poitiers,Medecin generaliste,,25
5,5,Dr Karine Brunet,Poitiers,Medecin generaliste,,25
6,6,Dr Cécile HUMMEL,Poitiers,Medecin generaliste,,25
7,7,Dr David CHAMBENOIT,Poitiers,Medecin generaliste,,60
8,8,Dr Airelle PLANQUES,Poitiers,Medecin generaliste,,25
9,9,Christophe INGRAND,Poitiers,Medecin generaliste,,25
10,10,Dr Angèle DEMION,Poitiers,Medecin generaliste,,50
11,11,Dr Elsa CANTOS,Poitiers,Medecin generaliste,,25
12,12,Laura BORTHOMIEU,Poitiers,Medecin generaliste,,25
13,13,Dr Céline BRECHON-GIRAUD,Poitiers,Medecin generaliste,,Conventionné secteur 1
14,14,Dr Céline BRECHON-GIRAUD,Poitiers,Medecin generaliste,,Conventionné secteur 1
15,15,Dr Déborah CARRIN,Poitiers,Medecin generaliste,,
16,16,Stephane Colin,Poitiers,Medecin generaliste,,
17,17,Dr Marion Delouche,Poitiers,Medecin generaliste,,
18,18,Dr Gabrielle Pequeriau,Poitiers,Medecin generaliste,,
19,19,Dr Lakshmipriya Le Bonheur,Poitiers,Medecin generaliste,,
20,20,Dr Sébastien Caquelin,Poitiers,Medecin generaliste,,
21,21,Dr Bénédicte Garrigue-Guyonnaud,Poitiers,Medecin generaliste,,
22,22,Christophe INGRAND,Poitiers,Medecin generaliste,,
23,23,Dr David Souchaud,Poitiers,Medecin generaliste,,
24,24,Dr Lucile Partaud,Poitiers,Medecin generaliste,,
25,25,Dr Laurent Toma,Poitiers,Medecin generaliste,,
26,26,Dr François Birault,Poitiers,Medecin generaliste,,
27,27,Dr Stéphanie Mignot - Grandcolin,Poitiers,Medecin generaliste,,
28,28,Patricia Mercade Point,Poitiers,Medecin generaliste,,
29,29,Dr Claire REIF,Poitiers,Medecin generaliste,,
30,30,Dr Yann Tierce,Poitiers,Medecin generaliste,,
31,31,Vincent Louette,Poitiers,Medecin generaliste,,
32,32,Justine Martin,Poitiers,Medecin generaliste,,
33,33,Dr Amandine Merrant,Poitiers,Medecin generaliste,,
34,34,Dr Delphine MOREAU,Poitiers,Medecin generaliste,,
35,35,Dr Valérie TRANCHEE-VERGE,Poitiers,Medecin generaliste,,
36,36,Dr Camille CIA,Poitiers,Medecin generaliste,,
37,37,Dr Bertrand VAUDOU,Poitiers,Medecin generaliste,,
38,38,Dr Aude PINLON,Poitiers,Medecin generaliste,,
39,39,Dr Sandy Sylvain,Poitiers,Medecin generaliste,,
40,40,Dr Alin Fodor,Poitiers,Chirurgien-dentiste,,
41,41,Dr Sylvain COIGNEAU,Poitiers,Chirurgien-dentiste,,
42,42,Dr Pascal Jardin,Poitiers,Chirurgien-dentiste,,
43,43,Temeoo Chauvigny,Poitiers,Ophtalmologue,"['12', 'janvier']",
44,44,Dr Athanase Gotzamanis,Poitiers,Ophtalmologue,"['28', 'février']",
45,45,Dr Chloé DE BEKETCH,Poitiers,Ophtalmologue,,
46,46,Centre d'ophtalmologie Ophtacalypso - Docteurs David Marotte et Chloé de Beketch - Protocole RNO,Poitiers,Ophtalmologue,,
47,47,Dr David MAROTTE,Poitiers,Ophtalmologue,,
48,48,Dr Arielle NEAU,Poitiers,Dermatologue et venerologue,,
49,49,Dr Valentin VELKOV,Poitiers,Dermatologue et venerologue,,
50,50,Dr Alexandre CHABRUN,Poitiers,Cardiologue,"['26', 'juin']",
51,51,Dr Abdallah Anzid,Poitiers,Cardiologue,"['27', 'avril']",
52,52,Dr Pierre Llaty,Poitiers,Cardiologue,"['13', 'février']",
53,53,Dr Véronique EDER,Poitiers,Cardiologue,"['26', 'avril']",
54,54,Dr Barnabas Gellen,Poitiers,Cardiologue,,
55,55,Dr Philippe Hainaut,Poitiers,Cardiologue,,
56,56,Dr Emma Grobost-Dalbin,Poitiers,Cardiologue,,
57,57,Dr Jerome Ferrandis,Poitiers,Cardiologue,,
58,58,Dr Nadine NAMTCHUENG,Poitiers,Cardiologue,"['4', 'mai']",
59,59,Dr Nicolas Varroud-Vial,Poitiers,Cardiologue,"['4', 'mai']",
60,60,Dr Jean-Louis Bauplé,Poitiers,Cardiologue,"['10', 'octobre']",
61,61,Dr Michele Vaxiviere-Bauplé,Poitiers,Cardiologue,"['19', 'septembre']",
62,62,Dr Benoit LEQUEUX,Poitiers,Cardiologue,,
63,63,Dr Olivier Floucaud,Poitiers,Cardiologue,,
64,64,Dr Mathilde CLOUARD,Poitiers,Cardiologue,,
65,65,Dr Anne FRADIN,Poitiers,Rhumatologue,"['4', 'avril']",
66,66,Dr Julien GIRODON,Poitiers,Rhumatologue,"['20', 'mars']",
67,67,Dr Elodie LOPPIN,Poitiers,Rhumatologue,"['9', 'mars']",
68,68,Dr Laurie JOFFRES,Poitiers,Rhumatologue,"['24', 'février']",
69,69,Dr Bernard PALLIER,Poitiers,Rhumatologue,"['26', 'avril']",
70,70,Dr Morgan RAVEL,Rochefourchat,Medecin generaliste,"['11', 'janvier']",
71,71,Dr Amandine BOUISSIERE,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
72,72,Dr Marine GIRARD,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
73,73,Dr Thierry GACON,Rochefourchat,Medecin generaliste,"['16', 'janvier']",
74,74,Dr Elise GERARD,Rochefourchat,Medecin generaliste,"['9', 'janvier']",
75,75,Dr Dominique Petit,Rochefourchat,Medecin generaliste,"['31', 'janvier']",
76,76,Dr Marie Agnès Rabenilalana,Rochefourchat,Medecin generaliste,"['20', 'janvier']",
77,77,Dr Alain AMSELEM,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
78,78,Dr Claire Garnier,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
79,79,Dr Maud Le Guillouzic,Rochefourchat,Medecin generaliste,"['19', 'janvier']",
80,80,Dr Fanny CASANOVA,Rochefourchat,Medecin generaliste,"['17', 'janvier']",
81,81,Cabinet de médecine générale de la maison de santé de Buis les Baronnies,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
82,82,Dr Thierry BLANC,Rochefourchat,Medecin generaliste,"['9', 'janvier']",
83,83,Dr Hansiane MAZEYRAT,Rochefourchat,Medecin generaliste,"['13', 'février']",
84,84,Dr Véronique GIULIVI,Rochefourchat,Medecin generaliste,"['13', 'avril']",
85,85,Dr Justine Delorme,Rochefourchat,Medecin generaliste,"['27', 'janvier']",
86,86,Dr Claire PICATTO,Rochefourchat,Medecin generaliste,"['9', 'janvier']",
87,87,Dr Sandrine BEUDON,Rochefourchat,Medecin generaliste,"['11', 'janvier']",
88,88,Dr Clément BÉTRANCOURT,Rochefourchat,Medecin generaliste,ven. 6 janv. 12:00,
89,89,Dr Geta GENUNCHE,Rochefourchat,Medecin generaliste,"['25', 'janvier']",
90,90,Dr Bénédicte Michau,Rochefourchat,Medecin generaliste,"['12', 'janvier']",
91,91,Dr Laëtitia TOVENA,Rochefourchat,Medecin generaliste,"['9', 'janvier']",
92,92,Dr Emilija BORIZOVSKI,Rochefourchat,Medecin generaliste,"['9', 'janvier']",
93,93,Dr Thierry BLANC,Rochefourchat,Medecin generaliste,"['11', 'janvier']",
94,94,Dr Laure GONNET,Rochefourchat,Medecin generaliste,,
95,95,Dr Simon Vaccaro,Rochefourchat,Medecin generaliste,,
96,96,Dr Chloé RAPP,Rochefourchat,Medecin generaliste,,
97,97,Dr Valérie ROUX,Rochefourchat,Medecin generaliste,,
98,98,Dr Jean ALTMAN,Rochefourchat,Medecin generaliste,,
99,99,Dr Paul FAYE,Rochefourchat,Medecin generaliste,,
100,100,Dr Gaele Drevon,Rochefourchat,Medecin generaliste,,
101,101,Dr Benjamin Mougin,Rochefourchat,Medecin generaliste,,
102,102,Dr Camille Hebert,Rochefourchat,Medecin generaliste,,
103,103,Dr Morgane Pellen,Rochefourchat,Medecin generaliste,,
104,104,Pôle santé de la Valdaine,Rochefourchat,Medecin generaliste,,
105,105,Dr Julien LHERMITTE,Rochefourchat,Medecin generaliste,,
106,106,Dr Bénédicte PIBOYEU,Rochefourchat,Medecin generaliste,,
107,107,Dr Jean-Daniel BARNOUIN,Rochefourchat,Medecin generaliste,,
108,108,Dr Bérenger Bailleul,Rochefourchat,Medecin generaliste,,
109,109,Dr Lorena Cagni,Rochefourchat,Medecin generaliste,,
110,110,Dr Nasser BELHADI,Rochefourchat,Chirurgien-dentiste,,
111,111,Dr Bruno COGNE,Rochefourchat,Chirurgien-dentiste,,
112,112,Dr Nathalie GIRARD-WARION,Rochefourchat,Chirurgien-dentiste,,
113,113,Centre dentaire Sublim'Dent - Valence,Rochefourchat,Chirurgien-dentiste,,
114,114,Dr Jordi VINCENT,Rochefourchat,Chirurgien-dentiste,,
115,115,Dr Capucine Savattier,Rochefourchat,Chirurgien-dentiste,,
116,116,Dr Tom MAILLEFAUD,Rochefourchat,Chirurgien-dentiste,,
117,117,Dr Christelle BORGEAIS,Rochefourchat,Chirurgien-dentiste,,
118,118,Dr Florin PARFINOVICI,Rochefourchat,Chirurgien-dentiste,,
119,119,Temeoo Cléon-d'Andran,Rochefourchat,Ophtalmologue,"['9', 'janvier']",
120,120,Dr Annette Keita-Hartmann,Rochefourchat,Ophtalmologue,"['24', 'avril']",
121,121,Dr Alexandre CLAVEL,Rochefourchat,Ophtalmologue,"['11', 'février']",
122,122,Dr Neil Abi-Ayad,Rochefourchat,Ophtalmologue,"['6', 'février']",
123,123,Dr Jacques Wurtz,Rochefourchat,Ophtalmologue,"['23', 'février']",
124,124,Dr Frédéric POLLET VILLARD,Rochefourchat,Ophtalmologue,"['30', 'janvier']",
125,125,Dr Charles quarello,Rochefourchat,Ophtalmologue,"['18', 'janvier']",
126,126,Dr Bernard Ingignoli,Rochefourchat,Ophtalmologue,"['7', 'février']",
127,127,Centre ophtalmologique et rétine,Rochefourchat,Ophtalmologue,"['10', 'janvier']",
128,128,Juan Carlos HERNÁNDEZ FERNÁNDEZ,Rochefourchat,Ophtalmologue,"['2', 'février']",
129,129,Dr Maher HAOUAS,Rochefourchat,Ophtalmologue,"['17', 'janvier']",
130,130,Dr Jean-Luc Grelier,Rochefourchat,Ophtalmologue,"['10', 'janvier']",
131,131,Dr Paul Aracil,Rochefourchat,Ophtalmologue,"['16', 'février']",
132,132,Dr Marie-France JANKOWSKI,Rochefourchat,Ophtalmologue,,
133,133,Dr Silvain BOËDA,Rochefourchat,Ophtalmologue,,
134,134,Dr Guillaume PRADIER,Rochefourchat,Ophtalmologue,,
135,135,Dr Maud MENDES,Rochefourchat,Ophtalmologue,,
136,136,Dr Pascal FOUR,Rochefourchat,Ophtalmologue,,
137,137,Dr Pierre FRETTO,Rochefourchat,Ophtalmologue,,
138,138,Dr Anne KAPSA,Rochefourchat,Ophtalmologue,,
139,139,Dr Laurence MITZKAT,Rochefourchat,Dermatologue et venerologue,,
140,140,Dr Isabelle PUECHGUIRAL,Rochefourchat,Dermatologue et venerologue,,
141,141,Cécile BECUWE,Rochefourchat,Dermatologue et venerologue,,
142,142,Dr Laurence MITZKAT,Rochefourchat,Dermatologue et venerologue,,
143,143,Dr Maha KACHKO,Rochefourchat,Dermatologue et venerologue,,
144,144,Dr Pâquerette Castell,Rochefourchat,Dermatologue et venerologue,,
145,145,Dr Veronique MARTIN BOURRET,Rochefourchat,Dermatologue et venerologue,,
146,146,Dr Clemence BOUYA,Rochefourchat,Cardiologue,"['25', 'mai']",
147,147,Dr Paul POMIE,Rochefourchat,Cardiologue,"['1er', 'juin']",
148,148,Dr Rafi MAKHOUL,Rochefourchat,Cardiologue,"['3', 'juillet']",
149,149,Dr Salim BOUTALBA,Rochefourchat,Cardiologue,"['3', 'octobre']",
150,150,Dr Nicolas RICHET,Rochefourchat,Cardiologue,"['19', 'décembre']",
151,151,Dr Amer BELGHIT,Rochefourchat,Cardiologue,"['28', 'septembre']",
152,152,Dr Nicolas RICHET,Rochefourchat,Cardiologue,"['14', 'décembre']",
153,153,Dr Nicolas BOURRET,Rochefourchat,Cardiologue,"['12', 'décembre']",
154,154,Dr Nicolas RICHET,Rochefourchat,Cardiologue,"['15', 'décembre']",
155,155,Dr Nicolas BOURRET,Rochefourchat,Cardiologue,"['19', 'décembre']",
156,156,Dr Houssam BAKKOUR,Rochefourchat,Cardiologue,"['15', 'décembre']",
157,157,Dr Emmanuel FAURE,Rochefourchat,Cardiologue,"['11', 'décembre']",
158,158,Dr Jaroslaw RODZIK,Rochefourchat,Cardiologue,,
159,159,Dr Fadi JAMAL,Rochefourchat,Cardiologue,,
160,160,Dr Robert KORCZYNSKI,Rochefourchat,Cardiologue,,
161,161,Dr Houssam BAKKOUR,Rochefourchat,Cardiologue,,
162,162,Dr Nicolas BOURRET,Rochefourchat,Cardiologue,,
163,163,Dr Frédéric VAUTIER,Rochefourchat,Cardiologue,,
164,164,Dr Jamal LAAOUAJ,Rochefourchat,Cardiologue,,
165,165,Dr Emmanuel FAURE,Rochefourchat,Cardiologue,,
166,166,Dr Pierre Bochet,Rochefourchat,Rhumatologue,"['9', 'mai']",
167,167,Dr Isabelle PACAUD-VITOUX,Rochefourchat,Rhumatologue,"['22', 'juin']",
168,168,Dr Eric WALSER,Rochefourchat,Rhumatologue,"['7', 'avril']",
169,169,Dr Mohammed BELMOUHOUB,Rochefourchat,Rhumatologue,,
170,170,Dr Jean SEITE,Majastres,Medecin generaliste,"['14', 'janvier']",
171,171,Dr Jacqueline ANDREOLETTI,Majastres,Medecin generaliste,,
172,172,Dr Remi Clenchard,Majastres,Medecin generaliste,,
173,173,Dr Muriel THOREAU,Majastres,Medecin generaliste,,
174,174,Dr Marie Torcat,Majastres,Medecin generaliste,"['10', 'janvier']",
175,175,Dr Rick ANDRAOS,Majastres,Medecin generaliste,"['12', 'janvier']",
176,176,Dr Alain Frendo,Majastres,Medecin generaliste,sam. 7 janv. 09:30,
177,177,Dr Rick ANDRAOS,Majastres,Medecin generaliste,"['9', 'janvier']",
178,178,Dr Ibrahim TURKI,Majastres,Medecin generaliste,,
179,179,Dr Jacques LEMAIRE,Majastres,Medecin generaliste,,
180,180,Dr Alain Riboux,Majastres,Medecin generaliste,"['13', 'janvier']",
181,181,L'Atelier médical Manosque,Majastres,Medecin generaliste,"['25', 'janvier']",
182,182,Dr Delia LUNGU,Majastres,Medecin generaliste,,
183,183,Dr Herve LEBON,Majastres,Medecin generaliste,"['16', 'janvier']",
184,184,Dr Charlotte d'Aubreby,Majastres,Medecin generaliste,"['16', 'janvier']",
185,185,Dr Jean-Michel ALEXIS,Majastres,Medecin generaliste,"['13', 'janvier']",
186,186,M. Alexandre MELIN,Majastres,Medecin generaliste,"['8', 'février']",
187,187,Dr Suzanne ANDRAOS KHOUEIRY,Majastres,Medecin generaliste,"['17', 'janvier']",
188,188,Dr Elodie RAYNAUD,Majastres,Medecin generaliste,"['13', 'janvier']",
189,189,Dr Julien JACQUES,Majastres,Medecin generaliste,"['16', 'janvier']",
190,190,Christine MARTRE,Majastres,Chirurgien-dentiste,"['2', 'février']",
191,191,Dr Michael DAHAN,Majastres,Chirurgien-dentiste,"['13', 'janvier']",
192,192,Dr Catalin Parau,Majastres,Chirurgien-dentiste,"['2', 'mars']",
193,193,Centre de santé dentaire Vertuo Draguignan,Majastres,Chirurgien-dentiste,ven. 6 janv. 16:30,
194,194,Dr Anne BREARD COULET,Majastres,Chirurgien-dentiste,,
195,195,Dr Maeva QUEYREL,Majastres,Chirurgien-dentiste,,
196,196,Dr Daniela CIULCU-PARAU,Majastres,Chirurgien-dentiste,,
197,197,Le Centre Hospitalier de la Dracénie,Majastres,Chirurgien-dentiste,,
198,198,Centre Dentaire Draguignan - Dentego,Majastres,Chirurgien-dentiste,,
199,199,Dr Grégoire AIASSA,Majastres,Chirurgien-dentiste,,
200,200,Dr Christine CORTINA,Majastres,Chirurgien-dentiste,,
201,201,La Mut' - Mutualité Française PACA SSAM - Centre Dentaire Tourrettes,Majastres,Chirurgien-dentiste,,
202,202,Dr Aurélie HOUDART,Majastres,Chirurgien-dentiste,,
203,203,Dr Mathieu MEILLAT,Majastres,Ophtalmologue,"['20', 'avril']",
204,204,Dr Alexandre Philiponnet,Majastres,Ophtalmologue,"['2', 'mars']",
205,205,Jérôme Richard,Majastres,Ophtalmologue,"['1er', 'mars']",
206,206,Audrey HAECKEL,Majastres,Ophtalmologue,"['12', 'janvier']",
207,207,Dr Nathanael BENHAMOU,Majastres,Ophtalmologue,"['13', 'janvier']",
208,208,Dr Jérome Delas,Majastres,Ophtalmologue,ven. 6 janv. 15:00,
209,209,Dr Cedric Ghetemme,Majastres,Ophtalmologue,"['2', 'février']",
210,210,Dr Matthias FEUCHT,Majastres,Ophtalmologue,"['5', 'juin']",
211,211,Dr Matthieu GONZALVEZ,Majastres,Ophtalmologue,,
212,212,Dr Lamielle Claude,Majastres,Ophtalmologue,,
